START_DATE,Start_Date,Start_Time,END_Time,End_Date,End_Time,CATEGORY,Time_diff,Hour,START,STOP,MILES,Speed,PURPOSE
12/15/2016 14:20,12/15/2016,2:20:00 PM,12/15/2016 14:54,12/15/2016,2:54:00 PM,Business,0.023611111,0.733333333,Cary,Morrisville,10.6,14.45454545,Meeting
12/17/2016 15:38,12/17/2016,3:38:00 PM,12/17/2016 16:12,12/17/2016,4:12:00 PM,Business,0.023611111,0.733333333,Unknown Location,Unknown Location,4.8,6.545454545,Airport/Travel
12/17/2016 17:19,12/17/2016,5:19:00 PM,12/17/2016 17:59,12/17/2016,5:59:00 PM,Business,0.027777778,0.933333333,Unknown Location,Unknown Location,5.3,5.678571429,Temporary Site
12/18/2016 13:03,12/18/2016,1:03:00 PM,12/18/2016 13:41,12/18/2016,1:41:00 PM,Business,0.026388889,0.866666667,Unknown Location,Unknown Location,4.9,5.653846154,Errand/Supplies
12/18/2016 16:38,12/18/2016,4:38:00 PM,12/18/2016 17:25,12/18/2016,5:25:00 PM,Business,0.032638889,1.166666667,Unknown Location,Unknown Location,10.2,8.742857143,Errand/Supplies
12/18/2016 20:35,12/18/2016,8:35:00 PM,12/18/2016 21:04,12/18/2016,9:04:00 PM,Business,0.020138889,0.566666667,Unknown Location,Unknown Location,9.2,16.23529412,
12/19/2016 9:08,12/19/2016,9:08:00 AM,12/19/2016 9:36,12/19/2016,9:36:00 AM,Business,0.019444444,0.533333333,Unknown Location,Islamabad,7.7,14.4375,Errand/Supplies
12/19/2016 10:15,12/19/2016,10:15:00 AM,12/19/2016 10:34,12/19/2016,10:34:00 AM,Business,0.013194444,0.633333333,Islamabad,Rawalpindi,5.9,9.315789474,Temporary Site
12/19/2016 13:04,12/19/2016,1:04:00 PM,12/19/2016 13:08,12/19/2016,1:08:00 PM,Business,0.002777778,0.133333333,Rawalpindi,Unknown Location,0.7,5.25,Errand/Supplies
12/19/2016 13:24,12/19/2016,1:24:00 PM,12/19/2016 13:35,12/19/2016,1:35:00 PM,Business,0.007638889,0.366666667,Unknown Location,Unknown Location,1.3,3.545454545,
12/19/2016 14:07,12/19/2016,2:07:00 PM,12/19/2016 14:15,12/19/2016,2:15:00 PM,Business,0.005555556,0.266666667,Unknown Location,Unknown Location,2.5,9.375,
12/19/2016 14:18,12/19/2016,2:18:00 PM,12/19/2016 14:32,12/19/2016,2:32:00 PM,Business,0.009722222,0.466666667,Unknown Location,Unknown Location,5.3,11.35714286,
12/19/2016 14:37,12/19/2016,2:37:00 PM,12/19/2016 14:50,12/19/2016,2:50:00 PM,Business,0.009027778,0.433333333,Unknown Location,Unknown Location,5.4,12.46153846,
12/19/2016 15:09,12/19/2016,3:09:00 PM,12/19/2016 15:38,12/19/2016,3:38:00 PM,Business,0.020138889,0.566666667,Unknown Location,Rawalpindi,10.2,18,Customer Visit
12/19/2016 16:50,12/19/2016,4:50:00 PM,12/19/2016 17:09,12/19/2016,5:09:00 PM,Business,0.013194444,0.633333333,Rawalpindi,Islamabad,7.2,11.36842105,Customer Visit
12/19/2016 19:05,12/19/2016,7:05:00 PM,12/19/2016 19:17,12/19/2016,7:17:00 PM,Business,0.008333333,0.4,Islamabad,Unknown Location,2.2,5.5,
12/19/2016 19:55,12/19/2016,7:55:00 PM,12/19/2016 20:30,12/19/2016,8:30:00 PM,Business,0.024305556,0.766666667,Unknown Location,Unknown Location,11,14.34782609,Meeting
12/20/2016 8:49,12/20/2016,8:49:00 AM,12/20/2016 9:24,12/20/2016,9:24:00 AM,Business,0.024305556,0.766666667,Unknown Location,Rawalpindi,12,15.65217391,
12/20/2016 10:30,12/20/2016,10:30:00 AM,12/20/2016 10:48,12/20/2016,10:48:00 AM,Business,0.0125,0.6,Rawalpindi,Rawalpindi,3.3,5.5,Errand/Supplies
12/20/2016 11:30,12/20/2016,11:30:00 AM,12/20/2016 12:17,12/20/2016,12:17:00 PM,Business,0.032638889,1.166666667,Rawalpindi,Unknown Location,19.4,16.62857143,Meeting
12/20/2016 13:14,12/20/2016,1:14:00 PM,12/20/2016 13:20,12/20/2016,1:20:00 PM,Business,0.004166667,0.2,Unknown Location,Unknown Location,1.7,8.5,Errand/Supplies
12/20/2016 13:54,12/20/2016,1:54:00 PM,12/20/2016 14:17,12/20/2016,2:17:00 PM,Business,0.015972222,0.766666667,Unknown Location,Islamabad,5.7,7.434782609,Temporary Site
12/20/2016 16:14,12/20/2016,4:14:00 PM,12/20/2016 16:24,12/20/2016,4:24:00 PM,Business,0.006944444,0.333333333,Islamabad,Islamabad,1.8,5.4,Errand/Supplies
12/20/2016 16:56,12/20/2016,4:56:00 PM,12/20/2016 17:07,12/20/2016,5:07:00 PM,Business,0.007638889,0.366666667,Islamabad,Islamabad,1.4,3.818181818,Errand/Supplies
12/20/2016 18:47,12/20/2016,6:47:00 PM,12/20/2016 19:21,12/20/2016,7:21:00 PM,Business,0.023611111,0.733333333,Islamabad,Unknown Location,10.3,14.04545455,Customer Visit
12/21/2016 7:42,12/21/2016,7:42:00 AM,12/21/2016 8:10,12/21/2016,8:10:00 AM,Business,0.019444444,0.533333333,Unknown Location,Unknown Location,11.5,21.5625,Meeting
12/21/2016 10:14,12/21/2016,10:14:00 AM,12/21/2016 10:30,12/21/2016,10:30:00 AM,Business,0.011111111,0.533333333,Unknown Location,Islamabad,4.9,9.1875,Errand/Supplies
12/21/2016 11:35,12/21/2016,11:35:00 AM,12/21/2016 11:49,12/21/2016,11:49:00 AM,Business,0.009722222,0.466666667,Islamabad,Unknown Location,3.5,7.5,Meal/Entertain
12/21/2016 12:51,12/21/2016,12:51:00 PM,12/21/2016 13:33,12/21/2016,1:33:00 PM,Business,0.029166667,1,Unknown Location,Unknown Location,16.2,16.2,Meeting
12/21/2016 15:38,12/21/2016,3:38:00 PM,12/21/2016 15:49,12/21/2016,3:49:00 PM,Business,0.007638889,0.366666667,Unknown Location,Unknown Location,2,5.454545455,Errand/Supplies
12/21/2016 15:55,12/21/2016,3:55:00 PM,12/21/2016 16:05,12/21/2016,4:05:00 PM,Business,0.006944444,0.333333333,Unknown Location,Islamabad,2.1,6.3,Errand/Supplies
12/21/2016 17:45,12/21/2016,5:45:00 PM,12/21/2016 17:54,12/21/2016,5:54:00 PM,Business,0.00625,0.3,Islamabad,Islamabad,2.1,7,Meeting
12/21/2016 17:59,12/21/2016,5:59:00 PM,12/21/2016 18:31,12/21/2016,6:31:00 PM,Business,0.022222222,0.666666667,Islamabad,Unknown Location,7.2,10.8,Customer Visit
12/21/2016 19:49,12/21/2016,7:49:00 PM,12/21/2016 20:35,12/21/2016,8:35:00 PM,Business,0.031944444,1.133333333,Unknown Location,Rawalpindi,12,10.58823529,Meeting
12/21/2016 20:56,12/21/2016,8:56:00 PM,12/21/2016 23:42,12/21/2016,11:42:00 PM,Business,0.115277778,1.133333333,Rawalpindi,Unknown Location,103,90.88235294,Meeting
12/22/2016 15:40,12/22/2016,3:40:00 PM,12/22/2016 16:38,12/22/2016,4:38:00 PM,Business,0.040277778,1.133333333,Unknown Location,Unknown Location,32.3,28.5,Meeting
12/22/2016 17:04,12/22/2016,5:04:00 PM,12/22/2016 17:20,12/22/2016,5:20:00 PM,Business,0.011111111,0.533333333,Unknown Location,Unknown Location,5.3,9.9375,Customer Visit
12/22/2016 17:27,12/22/2016,5:27:00 PM,12/22/2016 17:53,12/22/2016,5:53:00 PM,Business,0.018055556,0.466666667,Unknown Location,Unknown Location,11.6,24.85714286,Meeting
12/22/2016 17:56,12/22/2016,5:56:00 PM,12/22/2016 18:29,12/22/2016,6:29:00 PM,Business,0.022916667,0.7,Unknown Location,Unknown Location,23.2,33.14285714,Meeting
12/22/2016 18:31,12/22/2016,6:31:00 PM,12/22/2016 18:37,12/22/2016,6:37:00 PM,Business,0.004166667,0.2,Unknown Location,Unknown Location,3.2,16,Errand/Supplies
12/22/2016 18:38,12/22/2016,6:38:00 PM,12/22/2016 18:47,12/22/2016,6:47:00 PM,Business,0.00625,0.3,Unknown Location,Unknown Location,12.3,41,Temporary Site
12/22/2016 19:04,12/22/2016,7:04:00 PM,12/22/2016 19:50,12/22/2016,7:50:00 PM,Business,0.031944444,1.133333333,Unknown Location,Lahore,14,12.35294118,Meeting
12/22/2016 21:41,12/22/2016,9:41:00 PM,12/22/2016 21:53,12/22/2016,9:53:00 PM,Business,0.008333333,0.4,Lahore,Lahore,2.1,5.25,Meal/Entertain
12/22/2016 23:27,12/22/2016,11:27:00 PM,12/22/2016 23:32,12/22/2016,11:32:00 PM,Business,0.003472222,0.166666667,Lahore,Lahore,2.1,12.6,Customer Visit
12/23/2016 9:21,12/23/2016,9:21:00 AM,12/23/2016 9:41,12/23/2016,9:41:00 AM,Business,0.013888889,0.666666667,Lahore,Lahore,3,4.5,Meeting
12/23/2016 11:33,12/23/2016,11:33:00 AM,12/23/2016 11:58,12/23/2016,11:58:00 AM,Business,0.017361111,0.433333333,Lahore,Unknown Location,6.2,14.30769231,Meeting
12/23/2016 14:15,12/23/2016,2:15:00 PM,12/23/2016 15:25,12/23/2016,3:25:00 PM,Business,0.048611111,0.533333333,Unknown Location,Unknown Location,9.6,18,Meeting
12/23/2016 16:23,12/23/2016,4:23:00 PM,12/23/2016 16:34,12/23/2016,4:34:00 PM,Business,0.007638889,0.366666667,Unknown Location,Unknown Location,1.3,3.545454545,Errand/Supplies
12/23/2016 17:34,12/23/2016,5:34:00 PM,12/23/2016 18:27,12/23/2016,6:27:00 PM,Business,0.036805556,0.966666667,Unknown Location,Lahore,7.1,7.344827586,Meal/Entertain
12/24/2016 7:43,12/24/2016,7:43:00 AM,12/24/2016 8:04,12/24/2016,8:04:00 AM,Business,0.014583333,0.7,Lahore,Unknown Location,6.3,9,Meal/Entertain
12/24/2016 9:19,12/24/2016,9:19:00 AM,12/24/2016 9:55,12/24/2016,9:55:00 AM,Business,0.025,0.8,Unknown Location,Lahore,10.7,13.375,Meal/Entertain
12/24/2016 10:34,12/24/2016,10:34:00 AM,12/24/2016 10:53,12/24/2016,10:53:00 AM,Business,0.013194444,0.633333333,Lahore,Lahore,5.3,8.368421053,Meal/Entertain
